"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"wIME","02000004","Data Label","Global","User Defined","13","0"
"INTI_02000010","02000010","Data Label","Global","User Defined","4","0"
"p02031438_2","02000024","Data Label","Global","User Defined","8","0"
"wSIOMULTI0","02001514","Data Label","Global","User Defined","6","1"
"wSIOMULTI2","02001518","Data Label","Global","User Defined","2","0"
"PressedKeys","02001eb0","Data Label","Global","User Defined","144","4"
"BG0MaskByteSize","02001fc4","Data Label","Global","User Defined","2","0"
"BG0MaskPointer","02001fc8","Data Label","Global","User Defined","5","0"
"BG0MaskData","02001fd0","Data Label","Global","User Defined","2","0"
"wBG0CNT","02002144","Data Label","Global","User Defined","266","0"
"wBG1CNT","02002146","Data Label","Global","User Defined","80","0"
"wBG2CNT","02002148","Data Label","Global","User Defined","8","0"
"wBG3CNT","0200214a","Data Label","Global","User Defined","13","0"
"wBG0HOFS","0200214c","Data Label","Global","User Defined","116","0"
"wBG0VOFS","0200214e","Data Label","Global","User Defined","41","0"
"wBG1HOFS","02002150","Data Label","Global","User Defined","62","0"
"wBG1VOFS","02002152","Data Label","Global","User Defined","21","0"
"wBG2HOFS","02002154","Data Label","Global","User Defined","8","0"
"wBG2VOFS","02002156","Data Label","Global","User Defined","5","0"
"wBG3HOFS","02002158","Data Label","Global","User Defined","13","0"
"wBG3VOFS","0200215a","Data Label","Global","User Defined","2","0"
"wBG2PA","0200215c","Data Label","Global","User Defined","0","0"
"wBG2PB","0200215e","Data Label","Global","User Defined","0","0"
"wBG2PC","02002160","Data Label","Global","User Defined","0","0"
"wBG2PD","02002162","Data Label","Global","User Defined","0","0"
"wBG2X","02002164","Data Label","Global","User Defined","0","0"
"wBG2Y","02002168","Data Label","Global","User Defined","0","0"
"wBG3PA","0200216c","Data Label","Global","User Defined","0","0"
"wBG3PB","0200216e","Data Label","Global","User Defined","0","0"
"wBG3PC","02002170","Data Label","Global","User Defined","0","0"
"wBG3PD","02002172","Data Label","Global","User Defined","0","0"
"wBG3X","02002174","Data Label","Global","User Defined","0","0"
"wBG3Y","02002178","Data Label","Global","User Defined","0","0"
"Unk_0200217c","0200217c","Data Label","Global","User Defined","0","0"
"Unk_0200217e","0200217e","Data Label","Global","User Defined","0","0"
"wBLDCLT","02002180","Data Label","Global","User Defined","173","0"
"wBLDALPHA","02002182","Data Label","Global","User Defined","48","0"
"wBLDY","02002184","Data Label","Global","User Defined","1","0"
"wWIN0H","02002194","Data Label","Global","User Defined","10","0"
"wWIN1H","02002196","Data Label","Global","User Defined","16","0"
"wWIN0V","02002198","Data Label","Global","User Defined","10","0"
"wWIN1V","0200219a","Data Label","Global","User Defined","21","0"
"wWININOUT","0200219c","Data Label","Global","User Defined","7","2"
"wMOSAIC","020021a0","Data Label","Global","User Defined","59","0"
"Hachiue","020021b8","Data Label","Global","User Defined","13","0"
